Time_Taken,Sensor 1,Sensor 2,Sensor 3,Sensor 4
500,1.070000052,0.995999992,0.596000016,0.103
502,1.070000052,0.995999992,0.600000024,0.103
504,1.070000052,0.995999992,0.602999985,0.103
506,1.070000052,1,0.606000006,0.103
508,1.070000052,1,0.609000027,0.103
510,1.070000052,1,0.615999997,0.103
512,1.067000031,1,0.619000018,0.103
514,1.067000031,1,0.621999979,0.100000001
516,1.070000052,1,0.625,0.103
518,1.067000031,1,0.629000008,0.103
520,1.067000031,1,0.629000008,0.103
522,1.067000031,1,0.63499999,0.103
523,1.067000031,1,0.63499999,0.103
524,1.067000031,1,0.638000011,0.103
525,1.067000031,1,0.640999973,0.103
526,1.067000031,1,0.640999973,0.103
527,1.067000031,1,0.640999973,0.103
528,1.067000031,1,0.644999981,0.103
529,1.067000031,1,0.644999981,0.103
531,1.067000031,1,0.644999981,0.103
532,1.067000031,1,0.648000002,0.103
533,1.067000031,1,0.651000023,0.103
534,1.067000031,1,0.651000023,0.103
535,1.067000031,1,0.651000023,0.103
536,1.067000031,1,0.653999984,0.105999999
537,1.067000031,1,0.653999984,0.103
538,1.067000031,1,0.657999992,0.103
539,1.067000031,1,0.657999992,0.103
540,1.067000031,1,0.657999992,0.103
541,1.06400001,1,0.657999992,0.105999999
542,1.067000031,1.003000021,0.661000013,0.105999999
543,1.06400001,1,0.661000013,0.103
544,1.06400001,1,0.663999975,0.105999999
547,1.06400001,1.003000021,0.666999996,0.105999999
550,1.06400001,1,0.674000025,0.105999999
553,1.06400001,1.003000021,0.676999986,0.108999997
556,1.06400001,1.003000021,0.683000028,0.108999997
559,1.06400001,1.003000021,0.686999977,0.108999997
562,1.06400001,1.003000021,0.693000019,0.112000003
565,1.06400001,1.003000021,0.69599998,0.119000003
568,1.067000031,1.003000021,0.699999988,0.119000003
571,1.06400001,1.003000021,0.703000009,0.122000001
574,1.06400001,1.006000042,0.70599997,0.125
577,1.06400001,1.006000042,0.712000012,0.128999993
580,1.06400001,1.006000042,0.718999982,0.131999999
583,1.067000031,1.006000042,0.722000003,0.141000003
587,1.067000031,1.006000042,0.725000024,0.144999996
589,1.067000031,1.006000042,0.728999972,0.148000002
591,1.067000031,1.006000042,0.731999993,0.150999993
593,1.067000031,1.006000042,0.731999993,0.153999999
595,1.067000031,1.006000042,0.735000014,0.160999998
597,1.067000031,1.006000042,0.737999976,0.164000005
599,1.070000052,1.008999944,0.740999997,0.170000002
602,1.070000052,1.008999944,0.745000005,0.180000007
605,1.070000052,1.008999944,0.748000026,0.187000006
608,1.070000052,1.008999944,0.750999987,0.195999995
611,1.070000052,1.008999944,0.754000008,0.206
614,1.070000052,1.008999944,0.760999978,0.211999997
617,1.070000052,1.008999944,0.760999978,0.222000003
620,1.070000052,1.008999944,0.763999999,0.231999993
623,1.070000052,1.008999944,0.76700002,0.238000005
626,1.070000052,1.011999965,0.769999981,0.250999987
629,1.070000052,1.011999965,0.769999981,0.257999986
632,1.074000001,1.011999965,0.773999989,0.270000011
635,1.074000001,1.011999965,0.779999971,0.273999989
637,1.074000001,1.011999965,0.779999971,0.282999992
640,1.074000001,1.011999965,0.782999992,0.293000013
644,1.074000001,1.011999965,0.787,0.300000012
646,1.074000001,1.011999965,0.790000021,0.305999994
648,1.074000001,1.011999965,0.790000021,0.308999985
650,1.074000001,1.011999965,0.792999983,0.316000015
