Time_Taken,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
2159,0.63499999,0.458000004,0.76700002,1.016000032,0.735000014
2161,0.638000011,0.458000004,0.76700002,1.016000032,0.735000014
2163,0.63499999,0.458000004,0.76700002,1.016000032,0.735000014
2165,0.638000011,0.458000004,0.76700002,1.016000032,0.735000014
2167,0.63499999,0.458000004,0.763999999,1.016000032,0.735000014
2169,0.63499999,0.458000004,0.76700002,1.016000032,0.735000014
2171,0.63499999,0.458000004,0.76700002,1.016000032,0.735000014
2173,0.63499999,0.458000004,0.763999999,1.016000032,0.735000014
2175,0.63499999,0.458000004,0.76700002,1.011999965,0.735000014
2177,0.63499999,0.458000004,0.763999999,1.011999965,0.735000014
2179,0.63499999,0.453999996,0.763999999,1.011999965,0.735000014
2182,0.632000029,0.458000004,0.763999999,1.011999965,0.735000014
2184,0.63499999,0.453999996,0.763999999,1.011999965,0.731999993
2186,0.63499999,0.453999996,0.763999999,1.011999965,0.731999993
2189,0.63499999,0.458000004,0.763999999,1.011999965,0.731999993
2193,0.63499999,0.458000004,0.763999999,1.011999965,0.731999993
2196,0.632000029,0.453999996,0.763999999,1.008999944,0.731999993
2202,0.632000029,0.453999996,0.763999999,1.008999944,0.731999993
2205,0.63499999,0.458000004,0.763999999,1.008999944,0.731999993
2208,0.632000029,0.453999996,0.760999978,1.008999944,0.731999993
2211,0.632000029,0.453999996,0.760999978,1.008999944,0.728999972
2214,0.632000029,0.453999996,0.760999978,1.008999944,0.728999972
2216,0.632000029,0.453999996,0.760999978,1.008999944,0.728999972
2219,0.632000029,0.453999996,0.760999978,1.008999944,0.728999972
2221,0.632000029,0.453999996,0.760999978,1.008999944,0.728999972
2223,0.632000029,0.453999996,0.760999978,1.006000042,0.728999972
2225,0.632000029,0.453999996,0.760999978,1.006000042,0.728999972
2227,0.632000029,0.453999996,0.760999978,1.006000042,0.728999972
2229,0.629000008,0.453999996,0.760999978,1.008999944,0.725000024
2231,0.632000029,0.453999996,0.760999978,1.006000042,0.728999972
2233,0.632000029,0.453999996,0.760999978,1.006000042,0.728999972
2235,0.632000029,0.453999996,0.760999978,1.006000042,0.728999972
2237,0.629000008,0.453999996,0.760999978,1.006000042,0.728999972
2240,0.632000029,0.453999996,0.758000016,1.006000042,0.728999972
2243,0.629000008,0.453999996,0.760999978,1.006000042,0.728999972
2246,0.629000008,0.453999996,0.758000016,1.006000042,0.728999972
2250,0.629000008,0.453999996,0.758000016,1.003000021,0.725000024
2253,0.629000008,0.451000005,0.758000016,1.003000021,0.725000024
2256,0.629000008,0.453999996,0.758000016,1.003000021,0.725000024
2259,0.629000008,0.453999996,0.758000016,1.003000021,0.725000024
2261,0.629000008,0.453999996,0.758000016,1.003000021,0.725000024
2263,0.629000008,0.453999996,0.758000016,1.003000021,0.725000024
2265,0.629000008,0.453999996,0.758000016,1.003000021,0.725000024
